date,state,fips,cases,deaths,cfr,prev_day_cases,r,delta_c,Rt,n_plus_1_cases,n_plus_2_cases,n_minus_2_cases,n_minus_3_cases,n_minus_4_cases,n_minus_5_cases,r_smooth,Rt_smooth
2020-03-01,New York,36,1,0,0.0,,,,,1.0,2.0,,,,,,
2020-03-02,New York,36,1,0,0.0,1.0,1.0,0.0,1.0,2.0,11.0,,,,,,
2020-03-03,New York,36,2,0,0.0,1.0,2.0,1.0,1096.6331584284585,11.0,22.0,1.0,,,,,
2020-03-04,New York,36,11,0,0.0,2.0,5.5,9.0,47893456332463.73,22.0,44.0,1.0,1.0,,,,
2020-03-05,New York,36,22,0,0.0,11.0,2.0,11.0,1096.6331584284585,44.0,89.0,2.0,1.0,1.0,,,
2020-03-06,New York,36,44,0,0.0,22.0,2.0,22.0,1096.6331584284585,89.0,106.0,11.0,2.0,1.0,1.0,,
2020-03-07,New York,36,89,0,0.0,44.0,2.022727272727273,45.0,1285.7415454962352,106.0,142.0,22.0,11.0,2.0,1.0,,
2020-03-08,New York,36,106,0,0.0,89.0,1.1910112359550562,17.0,3.807903029586586,142.0,173.0,44.0,22.0,11.0,2.0,,
2020-03-09,New York,36,142,0,0.0,106.0,1.3396226415094339,36.0,10.776399273907925,173.0,217.0,89.0,44.0,22.0,11.0,,
2020-03-10,New York,36,173,0,0.0,142.0,1.2183098591549295,31.0,4.609728742101009,217.0,326.0,106.0,89.0,44.0,22.0,,
2020-03-11,New York,36,217,0,0.0,173.0,1.254335260115607,44.0,5.931913372869629,326.0,421.0,142.0,106.0,89.0,44.0,,
2020-03-12,New York,36,326,0,0.0,217.0,1.5023041474654377,109.0,33.65390282434349,421.0,610.0,173.0,142.0,106.0,89.0,,
2020-03-13,New York,36,421,0,0.0,326.0,1.2914110429447854,95.0,7.689665623737693,610.0,732.0,217.0,173.0,142.0,106.0,,
2020-03-14,New York,36,610,2,0.003278688524590164,421.0,1.4489311163895486,189.0,23.162111408669265,732.0,950.0,326.0,217.0,173.0,142.0,,
2020-03-15,New York,36,732,6,0.00819672131147541,610.0,1.2,122.0,4.055199966844674,950.0,1374.0,421.0,326.0,217.0,173.0,,
2020-03-16,New York,36,950,10,0.010526315789473684,732.0,1.2978142076502732,218.0,8.04217407159176,1374.0,2382.0,610.0,421.0,326.0,217.0,,
2020-03-17,New York,36,1374,17,0.012372634643377001,950.0,1.4463157894736842,424.0,22.741933846193945,2382.0,4152.0,732.0,610.0,421.0,326.0,,
2020-03-18,New York,36,2382,27,0.011335012594458438,1374.0,1.7336244541484715,1008.0,169.92738165262668,4152.0,7102.0,950.0,732.0,610.0,421.0,,
2020-03-19,New York,36,4152,30,0.0072254335260115606,2382.0,1.743073047858942,1770.0,181.54641209044456,7102.0,10356.0,1374.0,950.0,732.0,610.0,,
2020-03-20,New York,36,7102,57,0.008025908194874682,4152.0,1.7105009633911368,2950.0,144.53283935980454,10356.0,15168.0,2382.0,1374.0,950.0,732.0,,
2020-03-21,New York,36,10356,80,0.00772499034376207,7102.0,1.4581807941424951,3254.0,24.71142182951949,15168.0,20875.0,4152.0,2382.0,1374.0,950.0,,
2020-03-22,New York,36,15168,122,0.00804324894514768,10356.0,1.4646581691772886,4812.0,25.857667814974832,20875.0,25665.0,7102.0,4152.0,2382.0,1374.0,,
2020-03-23,New York,36,20875,159,0.007616766467065868,15168.0,1.3762526371308017,5707.0,13.926151284464082,25665.0,33066.0,10356.0,7102.0,4152.0,2382.0,,
2020-03-24,New York,36,25665,218,0.008494058055717903,20875.0,1.2294610778443114,4790.0,4.983973900978672,33066.0,38987.0,15168.0,10356.0,7102.0,4152.0,,
2020-03-25,New York,36,33066,325,0.009828827194096655,25665.0,1.2883693746347165,7401.0,7.527670432578261,38987.0,44635.0,20875.0,15168.0,10356.0,7102.0,,
2020-03-26,New York,36,38987,432,0.011080616615795008,33066.0,1.1790661102038347,5921.0,3.502450167477361,44635.0,53363.0,25665.0,20875.0,15168.0,10356.0,,
2020-03-27,New York,36,44635,535,0.01198610955528173,38987.0,1.1448688024213198,5648.0,2.7568304081064796,53363.0,59568.0,33066.0,25665.0,20875.0,15168.0,,
2020-03-28,New York,36,53363,782,0.014654348518636508,44635.0,1.195541615324297,8728.0,3.930596939189243,59568.0,67174.0,38987.0,33066.0,25665.0,20875.0,,
2020-03-29,New York,36,59568,965,0.01619997313994091,53363.0,1.1162790697674418,6205.0,2.256812655417113,67174.0,75832.0,44635.0,38987.0,33066.0,25665.0,,
2020-03-30,New York,36,67174,1224,0.018221335635811475,59568.0,1.127686005909213,7606.0,2.4444057378100865,75832.0,,53363.0,44635.0,38987.0,33066.0,,
2020-03-31,New York,36,75832,1550,0.020439919822766113,67174.0,1.1288891535415488,8658.0,2.4650795401683707,,,59568.0,53363.0,44635.0,38987.0,,
