date,state,district,s,e,i_d,i_u,p_i,r_severe,r_fatal,recovered,deceased,active,total
08/07/20,Maharashtra,Mumbai,9837500,40000,40000,60000,0,14000,6000,95000,7500,20000,122500
09/07/20,Maharashtra,Mumbai,9816743,52757,27967,57003,10909,21818,9396,95667,7740,31215,134621
10/07/20,Maharashtra,Mumbai,9799143,59806,19608,57074,21273,26712,11563,96706,8116,38275,143096
11/07/20,Maharashtra,Mumbai,9783288,63700,13798,58527,31650,29599,12883,97978,8578,42482,149038
12/07/20,Maharashtra,Mumbai,9768358,65889,9757,60485,42292,31116,13622,99387,9094,44738,153219
13/07/20,Maharashtra,Mumbai,9753880,67189,6945,62521,53289,31704,13964,100869,9639,45668,156176
14/07/20,Maharashtra,Mumbai,9739584,68048,4988,64443,64656,31668,14037,102379,10197,45705,158280
15/07/20,Maharashtra,Mumbai,9725315,68707,3626,66186,76373,31218,13929,103887,10759,45147,159792
16/07/20,Maharashtra,Mumbai,9710989,69291,2679,67743,88407,30500,13701,105373,11316,44202,160891
17/07/20,Maharashtra,Mumbai,9696560,69863,2019,69132,100724,29616,13397,106825,11864,43013,161702
18/07/20,Maharashtra,Mumbai,9682003,70447,1561,70381,113293,28634,13045,108236,12400,41679,162314
19/07/20,Maharashtra,Mumbai,9667306,71055,1243,71519,126090,27602,12665,109599,12921,40267,162787
20/07/20,Maharashtra,Mumbai,9652463,71686,1023,72570,139093,26551,12271,110914,13428,38822,163164
21/07/20,Maharashtra,Mumbai,9637475,72337,870,73555,152288,25504,11873,112178,13919,37377,163474
22/07/20,Maharashtra,Mumbai,9622341,73004,766,74490,165662,24474,11477,113392,14394,35952,163738
23/07/20,Maharashtra,Mumbai,9607061,73683,694,75386,179205,23471,11088,114558,14853,34559,163970
24/07/20,Maharashtra,Mumbai,9591639,74368,646,76254,192912,22501,10708,115676,15296,33208,164180
25/07/20,Maharashtra,Mumbai,9576076,75058,614,77100,206776,21566,10338,116747,15725,31904,164376
26/07/20,Maharashtra,Mumbai,9560373,75749,593,77928,220794,20669,9980,117774,16138,30650,164562
27/07/20,Maharashtra,Mumbai,9544534,76439,580,78743,234963,19811,9635,118758,16538,29446,164742
28/07/20,Maharashtra,Mumbai,9528559,77126,572,79545,249280,18991,9302,119702,16923,28293,164918
29/07/20,Maharashtra,Mumbai,9512451,77809,569,80338,263743,18208,8982,120606,17295,27190,165091
30/07/20,Maharashtra,Mumbai,9496212,78486,567,81122,278350,17461,8675,121473,17654,26136,165263
31/07/20,Maharashtra,Mumbai,9479844,79157,568,81897,293099,16750,8379,122305,18001,25130,165435
01/08/20,Maharashtra,Mumbai,9463349,79820,570,82664,307989,16073,8096,123102,18336,24169,165607
02/08/20,Maharashtra,Mumbai,9446729,80476,573,83422,323019,15429,7824,123868,18660,23252,165780
03/08/20,Maharashtra,Mumbai,9429987,81123,576,84173,338187,14816,7563,124602,18973,22378,165954
04/08/20,Maharashtra,Mumbai,9413124,81761,580,84915,353491,14232,7313,125308,19276,21545,166129
05/08/20,Maharashtra,Mumbai,9396143,82390,584,85648,368930,13678,7073,125985,19568,20751,166304
06/08/20,Maharashtra,Mumbai,9379047,83008,588,86373,384503,13150,6843,126637,19851,19993,166481
07/08/20,Maharashtra,Mumbai,9361837,83616,593,87088,400207,12649,6623,127263,20125,19272,166660
08/08/20,Maharashtra,Mumbai,9344517,84213,597,87793,416041,12172,6412,127865,20390,18584,166839
09/08/20,Maharashtra,Mumbai,9327090,84798,601,88488,432003,11719,6210,128445,20646,17929,167020
10/08/20,Maharashtra,Mumbai,9309557,85371,606,89172,448092,11289,6016,129003,20895,17305,167203
11/08/20,Maharashtra,Mumbai,9291921,85932,610,89845,464305,10880,5830,129541,21135,16710,167386
12/08/20,Maharashtra,Mumbai,9274187,86480,614,90507,480640,10491,5653,130059,21369,16144,167571
13/08/20,Maharashtra,Mumbai,9256356,87015,618,91157,497096,10122,5482,130558,21595,15604,167757
14/08/20,Maharashtra,Mumbai,9238431,87537,622,91795,513670,9771,5319,131040,21814,15090,167944
15/08/20,Maharashtra,Mumbai,9220416,88045,626,92420,530360,9438,5163,131505,22027,14601,168133
16/08/20,Maharashtra,Mumbai,9202314,88538,630,93031,547164,9121,5014,131955,22233,14135,168323
17/08/20,Maharashtra,Mumbai,9184128,89016,634,93629,564079,8820,4870,132389,22434,13691,168514
18/08/20,Maharashtra,Mumbai,9165861,89480,638,94213,581102,8535,4733,132809,22629,13268,168706
19/08/20,Maharashtra,Mumbai,9147517,89928,641,94783,598232,8264,4602,133216,22818,12866,168899
20/08/20,Maharashtra,Mumbai,9129099,90361,645,95337,615465,8006,4476,133609,23002,12482,169094
21/08/20,Maharashtra,Mumbai,9110610,90777,648,95877,632799,7762,4356,133990,23181,12117,169289
22/08/20,Maharashtra,Mumbai,9092055,91177,652,96400,650231,7530,4240,134360,23355,11770,169485
23/08/20,Maharashtra,Mumbai,9073436,91560,655,96908,667758,7309,4130,134719,23525,11439,169683
24/08/20,Maharashtra,Mumbai,9054758,91926,658,97399,685378,7100,4024,135067,23690,11124,169881
25/08/20,Maharashtra,Mumbai,9036024,92275,661,97873,703087,6902,3923,135405,23851,10825,170081
26/08/20,Maharashtra,Mumbai,9017238,92607,663,98330,720882,6713,3826,135733,24008,10539,170281
27/08/20,Maharashtra,Mumbai,8998403,92920,666,98769,738760,6534,3733,136053,24161,10268,170482
28/08/20,Maharashtra,Mumbai,8979523,93215,669,99191,756718,6364,3645,136364,24310,10009,170684
29/08/20,Maharashtra,Mumbai,8960603,93493,671,99594,774753,6203,3560,136667,24456,9763,170886
30/08/20,Maharashtra,Mumbai,8941646,93751,673,99979,792861,6050,3478,136963,24599,9528,171090
31/08/20,Maharashtra,Mumbai,8922656,93991,676,100345,811039,5905,3400,137251,24738,9305,171294
